index	title	release date	hero	heroine	director	genre	ratings
358	MP3: Mera pehla pehla pyaar	2007	Ruslaan Mumtaaz	Hazel Crowney	Robby Grewal	Drama	7.1
359	Life Main Kabhie Kabhiee	2007	Aftab Shivdasani	nauheed cryusi	vikram bhatt	thriller	6
360	Aap ka Suroor	2007	himesh Reshamiyan	hamsika motwani	prashant chadha	Drama	2.1
361	Dus Kahaniyaan	2007	sanjay dutt	Dia Mirza	sanjay gupta	Drama,thriller	5.7
362	Khoya Khoya Chand	2007	Shiney Ahuja	Soha Ali Khan	Sudhir Mishra	Drama,Romance	6.3
363	Speed	2007	zayed Khan	Urmila Matondkar	vikram bhatt	thriller	2.9
364	Dharm	2007	pankaj kapoor	supriya pathakk	bhavna talwar	Drama	7.9
365	Buddha Mar Gaya	2007	anupam kher	rakhi sawant	rahul rawail	Comedy,music	2.5
366	Red: the Dark side	2007	Aftab Shivdasani	calina jaitly	vikram bhatt	thriller	3.3
367	kaafila	2007	Sunny Deol	Sana Fakhar	Amitoj Maan	Drama	3.4
368	Eklavya: The Royal Guard	2007	amitabh bachhan 	Vidya Balan	vidhu vinod chopra	thriller	6.1
369	Rang De Basanti	2006	Aamir Khan 	Soha Ali Khan	Rakeysh Omprakash Mehra	Drama,Comedy,Music	8.2
370	Lage Raho Munna bhai	2006	Sanjay dutt	Vidya balan	Rajkumar Hirani	Comedy	8.1
371	Dhoom 2	2006	Hrithik Roshan	Aishwarya rai	Sanjay Gadhavi	Thriller,Comedy	6.5
372	Fanaa	2006	Aamir Khan	Kajol Mukharjee Devgan	Kunal Kohli	Drama	7.2
373	Omkara	2006	Ajay devgan	Kareena Kapoor	Vishal Bhardwaj	Drama,Crime	8.1
374	Krrish	2006	Hrithik Roshan	Priyanka Chopra	Rakesh Roshan	Action,Romance	6.3
375	Gangster	2006	Shiney Ahuja	Kangana Ranaut	Anurag basu	Drama	7.1
376	Kabhi Alvida Naa Kehna	2006	Shahrukh khan	Rani Mukharjee	karan johar	Drama	6
377	Don 2	2006	Shahrukh khan	Priyanka chopra	farhan akhtar	Drama,crime	7
378	Khosla Ka Ghosla!	2006	anupam kher	tara sharma	Dibakar Banarjee	Comedy,Drama	8.3
379	Malamaal Weekly	2006	Ritesh Deshmukh	Reema Sen	Priyadarshan	Comedy,Music	6.9
380	Phir Hera Pheri	2006	Akshay Kumar	Rimi sen	Neeraj Vora	Comedy	6.6
381	Golmaal: Fun unlimited	2006	Ajay Devgan	Rimi sen	Rohit shetty	Comedy, Music	7.4
382	Jaan-E-Mann	2006	Akshay Kumar	Preity Zinta	Shirish Kunder	Drama	6
383	Vivah	2006	Shahid Kapoor	Amrita Rao	Sooraj Barjatya	Drama	6.6
384	Kabul Express	2006	John Abraham	Linda Arsenio	Kabir Khan	Drama	6.8
385	Bhagam Bhag	2006	Akshay Kumar	lara dutta	Priyadarshan	Drama,thriller	6.3
386	Chup Chup ke	2006	Shahid Kapoor	Kareena Kapoor	Priyadarshan	Drama,Romance	6.7
387	Zinda	2006	Sanjay dutt	lara dutta	sanjay gupta	thriller,Drama	4.9
388	36 China Town	2006	Shahid Kapoor	Kareena Kapoor	Mustan Burmawalla	Thriller	5.6
389	Dor	2006	Nagesh Kukunoor	Aisha takiya	nagesh kukunoor	Drama	8
390	Baabul	2006	Salman Khan	Rani Mukharjee	Ravi chopra	Drama	5.4
391	Umaro Jaan	2006	Farooq Shaikh	Rekha	Muzaffar ali	Drama	7.8
392	Corporate	2006	kay kay menon	Bipasha Basu	madhur bhandarkar	Drama	6.5
393	Pyar ke Side effects	2006	Rahul bose	Mallika Sharawat	Sanket chaudhary	Drama,Romance	6.7
394	Darna Zaroori Hain	2006	anil kapoor	Mallika Sharawat	Ram Gopal Varma	thriller	5.4
395	Woh Lamhe	2006	Shiney Ahuja	Kangana Ranaut	Mohit Suri	Drama	6.6
396	Ahista Ahista	2006	abhay deol	Soha Ali Khan	Shivam Nair	Drama	7
397	Humko Deewana Kar Gaya	2006	Akshay Kumar	Katrina kaif	Raj kunwar	Drama	5.2
398	Yun Hota Toh Kya hota	2006	Irrfan Khan	konkona sen sharma	Nasaruddin Shah	Drama	6.7
399	Fight Club	2006	Sohail Khan	Dia Mirza	Vikram Chopra	Drama	3.2
400	Pyaare Mohan	2006	Fardeen Khan	Amrita Rao	Indra Kumar	Comedy, Music	3.2
401	The Killer	2006	Emraan Hashmi	Priyanka Kothari	Hasnain Hyderabadwala	Drama	4.6
402	Aap ki Khatir	2006	Akshaye Khanna	Priyanka Chopra	Dharmesh Darshan	Romance	3.5
403	Shaadi Se Pehle	2006	Akshaye Khanna	Ayesha Takia	Satish Kaushik	Comedy, Music	4
404	Bas ek pal	2006	Sanjay Suri	Urmila Matondkar	Onir	Drama	5.9
405	Naksha	2006	Sunny Deol	Sameera Reddy	Sachin Bajaj	Action	3.1
406	Mere Jeevan Saathi	2006	Akshay Kumar	Karisma Kapoor	Suneel Darshan	Romance	3.5
407	Apna Sapna Money Money	2006	Riteish Deshmukh	Celina Jaitly	Sangeet Sivan	Comedy, Music	5.2
408	Tathastu	2006	Sanjay dutt	Ameesha Patel	Anubhav Sinha	Drama	4.5
409	Aryan:Unbreakable	2006	Sohail Khan	Sneha Ullal	Abhishek Kapoor	Drama, Action	4.5
410	Banaras	2006	Ashmit Patel	Urmila Matondkar	Pankaj Parashar	Drama	6.2
411	Darwaza Bandh Rakho	2006	Aftab Shivdasani	Manisha Koirala	J. D. Chakravarthy	Drama	5.3
412	Dil Diya Hai	2006	Emraan Hashmi	Geeta Basra	Aditya Datt	Drama	3.4
413	Family	2006	Akshay Kumar	bhumika chawala	rajkumar santoshi	Thriller, Drama	5.6
414	Souten: the other women	2006	Shakti Kapoor	Mahima Chaudhary	Karan Razdan	Thriller	4.8
